id,question,answer,explanation,explanation_summary,explanation_correct,explanation_opposite,explanation_point,category,tags,source,note
ichi-0001,安全配慮義務は労働安全衛生法に明文規定されており、違反した場合は刑事罰が科される。,×,安全配慮義務は労働契約法5条に規定され、身体的・精神的健康の両方に及ぶ。管理監督者個人も責任を問われることがある。過失相殺はあり得るが損害賠償が発生しないわけではない。,,,,,基礎・役割,第1章 / 労働安全衛生法と安全配慮義務,メンタルヘルスケアの意義と管理監督者の役割,
ichi-0002,安全配慮義務の履行者は会社のみであり、管理監督者個人が責任を問われることはない。,×,安全配慮義務は労働契約法5条に規定され、身体的・精神的健康の両方に及ぶ。管理監督者個人も責任を問われることがある。過失相殺はあり得るが損害賠償が発生しないわけではない。,,,,,基礎・役割,第1章 / 労働安全衛生法と安全配慮義務,メンタルヘルスケアの意義と管理監督者の役割,
ichi-0003,身体的な安全だけでなく、メンタルヘルス上の配慮も安全配慮義務の対象となる。,○,安全配慮義務は労働契約法5条に規定され、身体的・精神的健康の両方に及ぶ。管理監督者個人も責任を問われることがある。過失相殺はあり得るが損害賠償が発生しないわけではない。,,,,,基礎・役割,第1章 / 労働安全衛生法と安全配慮義務,メンタルヘルスケアの意義と管理監督者の役割,
ichi-0004,安全配慮義務違反が認められた場合でも、労働者側に過失があれば損害賠償は発生しない。,×,安全配慮義務は労働契約法5条に規定され、身体的・精神的健康の両方に及ぶ。管理監督者個人も責任を問われることがある。過失相殺はあり得るが損害賠償が発生しないわけではない。,,,,,基礎・役割,第1章 / 労働安全衛生法と安全配慮義務,メンタルヘルスケアの意義と管理監督者の役割,
ichi-0005,セルフケアとは、労働者自身がストレスに気づき、対処することをいう。,○,事業場外資源によるケアはラインケアを補完するものであり、ラインケアが機能していても不要にはならない。,,,,,基礎・役割,第1章 / メンタルヘルスケアの考え方と進め方,メンタルヘルスケアの意義と管理監督者の役割,
ichi-0006,ラインによるケアとは、管理監督者が部下の状況を把握し、職場環境の改善等を行うことをいう。,○,事業場外資源によるケアはラインケアを補完するものであり、ラインケアが機能していても不要にはならない。,,,,,基礎・役割,第1章 / メンタルヘルスケアの考え方と進め方,メンタルヘルスケアの意義と管理監督者の役割,
ichi-0007,事業場内産業保健スタッフ等によるケアには、産業医や衛生管理者が関わる。,○,事業場外資源によるケアはラインケアを補完するものであり、ラインケアが機能していても不要にはならない。,,,,,基礎・役割,第1章 / メンタルヘルスケアの考え方と進め方,メンタルヘルスケアの意義と管理監督者の役割,
ichi-0008,事業場外資源によるケアは、ラインによるケアが十分に機能している場合には不要とされている。,×,事業場外資源によるケアはラインケアを補完するものであり、ラインケアが機能していても不要にはならない。,,,,,基礎・役割,第1章 / メンタルヘルスケアの考え方と進め方,メンタルヘルスケアの意義と管理監督者の役割,
ichi-0009,職場のストレス要因が直接、健康障害を引き起こすとするシンプルなモデルである。,×,NIOSHモデルでは仕事のストレス要因に加え、個人的要因・緩衝要因（上司・同僚・家族の支援など）がストレス反応を修飾し、最終的な健康障害に至るプロセスを示している。,,,,,基礎・役割,第2章 / 産業ストレス,ストレスおよびメンタルヘルスに関する基礎知識,
ichi-0010,個人的要因や緩衝要因がストレス反応に影響を与えるとされている。,○,NIOSHモデルでは仕事のストレス要因に加え、個人的要因・緩衝要因（上司・同僚・家族の支援など）がストレス反応を修飾し、最終的な健康障害に至るプロセスを示している。,,,,,基礎・役割,第2章 / 産業ストレス,ストレスおよびメンタルヘルスに関する基礎知識,
