slug,genre,title,content_status,portfolio_block,intent_type,seo_tier,seo_score,auto_decision,merge_target,primary_keyword_hint,rationale,in_keep_core,field_id,field_match,is_custom_slug,expert_pass,slug_cluster,manual_decision,notes
application-deadline-checklist,受験・申込,メン管II種·申込締切前【最終9点·3日前·当日】,published,A制度,do,A,78,keep,,メン管II種·申込締切前【最終9点·3日前·当日】,KEEP_CORE（SEOハブ・必須）,yes,,n/a,no,yes,other,,
exam-application-flow,受験・申込,メン管II種·申込の流れ【6ステップ·決済·受験票】,published,A制度,do,A,78,keep,,メン管II種·申込の流れ【6ステップ·決済·受験票】,KEEP_CORE（SEOハブ・必須）,yes,,n/a,no,yes,other,,
exam-eligibility,受験・申込,メン管II種·受験資格【管理監督者·選任·研修】,published,A制度,do,A,78,keep,,メン管II種·受験資格【管理監督者·選任·研修】,KEEP_CORE（SEOハブ・必須）,yes,,n/a,no,yes,other,,
exam-fees,受験・申込,メン管II種·受験料【要項確認·決済·控え保存】,published,A制度,do,A,78,keep,,メン管II種·受験料【要項確認·決済·控え保存】,KEEP_CORE（SEOハブ・必須）,yes,,n/a,no,yes,other,,
exam-schedule,受験・申込,メン管II種·試験日程【申込期間·12週逆算·要項】,published,A制度,do,A,78,keep,,メン管II種·試験日程【申込期間·12週逆算·要項】,KEEP_CORE（SEOハブ・必須）,yes,,n/a,no,yes,other,,
exam-venue-and-region,受験・申込,メン管II種·受験地·会場【申込選択·受験票·動線】,published,A制度,do,A,78,keep,,メン管II種·受験地·会場【申込選択·受験票·動線】,KEEP_CORE（SEOハブ・必須）,yes,,n/a,no,yes,other,,
official-info-sources,試験概要,メン管II種·公式情報【正本URL·要項·7領域】,published,A制度,do,C,66,keep,,メン管II種·公式情報【正本URL·要項·7領域】,KEEP_CORE（SEOハブ・必須）,yes,,n/a,no,yes,other,,
pass-announcement-guide,注意点・更新,メン管II種·合格発表確認【合否·70点·II種ラインケア】,published,A制度,do,C,66,keep,,メン管II種·合格発表確認【合否·70点·II種ラインケア】,KEEP_CORE（SEOハブ・必須）,yes,,n/a,no,yes,other,,
registration-after-pass,注意点・更新,メン管II種·登録·免許【II種不要·70点·比較表】,published,A制度,do,C,66,keep,,メン管II種·登録·免許【II種不要·70点·比較表】,KEEP_CORE（SEOハブ・必須）,yes,,n/a,no,yes,other,,
exam-format-overview,出題・形式,メン管II種·試験形式【100問·120分·70点·1.2分/問】,published,B形式,do,C,60,keep,,メン管II種·試験形式【100問·120分·70点·1.2分/問】,KEEP_CORE（SEOハブ・必須）,yes,,n/a,no,yes,other,,
exam-scope-overview,出題・形式,メン管II種·出題範囲【7領域一覧·100問·70点】,published,B形式,do,C,60,keep,,メン管II種·出題範囲【7領域一覧·100問·70点】,KEEP_CORE（SEOハブ・必須）,yes,,n/a,no,yes,other,,
subject-breakdown,出題・形式,メン管II種·科目構成【7領域·約14問·70点】,published,B形式,do,C,60,keep,,メン管II種·科目構成【7領域·約14問·70点】,KEEP_CORE（SEOハブ・必須）,yes,,n/a,no,yes,other,,
syllabus-how-to-read,出題・形式,メン管II種·要項の読み方【5点抜き出し·PDF手順】,published,B形式,do,C,60,keep,,メン管II種·要項の読み方【5点抜き出し·PDF手順】,KEEP_CORE（SEOハブ・必須）,yes,,n/a,no,yes,other,,
time-limit-strategy,出題・形式,メン管II種·時間配分【1.2分/問·72秒·段階練習】,published,B形式,do,C,60,keep,,メン管II種·時間配分【1.2分/問·72秒·段階練習】,KEEP_CORE（SEOハブ・必須）,yes,,n/a,no,yes,other,,
pass-rate,受験・申込,メン管II種·合格率【70点·演習正答率·統計の見方】,published,C難易度,do,A,76,keep,,メン管II種·合格率【70点·演習正答率·統計の見方】,KEEP_CORE（SEOハブ・必須）,yes,,n/a,no,yes,other,,
pass-score,合格・難易度,メン管II種·合格点【70点·100問·捨て問戦略】,published,C難易度,do,A,76,keep,,メン管II種·合格点【70点·100問·捨て問戦略】,KEEP_CORE（SEOハブ・必須）,yes,,n/a,no,yes,other,,
exam-difficulty,合格・難易度,メン管II種·難易度【70点·7領域·初学者3軸】,published,C難易度,do,A,46,keep,,メン管II種·難易度【70点·7領域·初学者3軸】,スコアリングで残否を判定（スコア上位で keep 候補）,no,,n/a,no,yes,other,,
study-plan,学習計画,メン管II種·勉強法【12週·7章·週次サイクル】,published,D学習,do,B,68,keep,,メン管II種·勉強法【12週·7章·週次サイクル】,KEEP_CORE（SEOハブ・必須）,yes,,n/a,no,yes,other,,
textbook-selection,独学対策,メン管II種·公式テキスト選び【第5/6版·7領域·正本】,published,D学習,do,B,68,keep,,メン管II種·公式テキスト選び【第5/6版·7領域·正本】,KEEP_CORE（SEOハブ・必須）,yes,,n/a,no,yes,other,,
correspondence-course-guide,独学対策,メン管II種·通信講座選び【独学可·7領域·ASP非掲載】,published,D学習,do,B,38,keep,,メン管II種·通信講座選び【独学可·7領域·ASP非掲載】,スコアリングで残否を判定（スコア上位で keep 候補）,no,,n/a,no,yes,other,,
free-materials-online,独学対策,メン管II種·無料教材活用【q/演習·用語·70点】,published,D学習,do,B,38,merge,study-plan,メン管II種·無料教材活用【q/演習·用語·70点】,スコアリングで残否を判定（50本上限・スコア38で merge）,no,,n/a,no,yes,other,,
balance-work-study,学習計画,メン管II種·仕事と勉強の両立【週3h·管理監督者·70点】,published,D学習,do,B,8,merge,study-plan,メン管II種·仕事と勉強の両立【週3h·管理監督者·70点】,クラスター統合（テンプレ定義）,no,,n/a,no,yes,other,,
first-30-days-plan,学習計画,メン管II種·最初の30日計画【7領域·演習導入·70点】,published,D学習,do,B,8,merge,study-plan,メン管II種·最初の30日計画【7領域·演習導入·70点】,クラスター統合（テンプレ定義）,no,,n/a,no,yes,other,,
material-update-cycle,独学対策,メン管II種·教材版·年度更新【第5/6版·要項·70点】,published,D学習,do,B,8,merge,syllabus-how-to-read,メン管II種·教材版·年度更新【第5/6版·要項·70点】,クラスター統合（テンプレ定義）,no,,n/a,no,yes,other,,
mistake-notebook,復習・苦手克服,メン管II種·間違いノート【4分類·4列·7日解き直し】,published,D学習,do,C,8,merge,study-plan,メン管II種·間違いノート【4分類·4列·7日解き直し】,クラスター統合（テンプレ定義）,no,,n/a,no,yes,other,,
plateau-breakthrough,復習・苦手克服,メン管II種·伸び悩み突破【2週停滞·弱点20問·70点】,published,D学習,do,C,8,merge,study-plan,メン管II種·伸び悩み突破【2週停滞·弱点20問·70点】,クラスター統合（テンプレ定義）,no,,n/a,no,yes,other,,
problem-book-selection,独学対策,メン管II種·問題集選び【第6版·7領域·1冊】,published,D学習,do,B,8,merge,textbook-selection,メン管II種·問題集選び【第6版·7領域·1冊】,クラスター統合（テンプレ定義）,no,,n/a,no,yes,other,,
review-cycle-spaced,復習・苦手克服,メン管II種·間隔反復復習【24h·7日·30日·70点】,published,D学習,do,C,8,merge,retake-strategy,メン管II種·間隔反復復習【24h·7日·30日·70点】,クラスター統合（テンプレ定義）,no,,n/a,no,yes,other,,
self-study-environment,独学対策,メン管II種·独学環境整備【週3h·通知遮断·70点】,published,D学習,do,B,8,merge,study-plan,メン管II種·独学環境整備【週3h·通知遮断·70点】,クラスター統合（テンプレ定義）,no,,n/a,no,yes,other,,
self-study-motivation,独学対策,メン管II種·モチベーション維持【週次振り返り·小目標·70点】,published,D学習,do,B,8,merge,study-plan,メン管II種·モチベーション維持【週次振り返り·小目標·70点】,クラスター統合（テンプレ定義）,no,,n/a,no,yes,other,,
self-study-schedule,独学対策,メン管II種·独学スケジュール【週5h·12週·70点】,published,D学習,do,A,8,merge,study-plan,メン管II種·独学スケジュール【週5h·12週·70点】,クラスター統合（テンプレ定義）,no,,n/a,no,yes,other,,
self-study-start,独学対策,メン管II種·独学の始め方【第1週·公式確認·70点】,published,D学習,do,B,8,merge,study-plan,メン管II種·独学の始め方【第1週·公式確認·70点】,クラスター統合（テンプレ定義）,no,,n/a,no,yes,other,,
self-study-without-school,独学対策,メン管II種·資格学校なし独学【コスト比較·3点·70点】,published,D学習,do,B,8,merge,study-plan,メン管II種·資格学校なし独学【コスト比較·3点·70点】,クラスター統合（テンプレ定義）,no,,n/a,no,yes,other,,
study-plan-1year,学習計画,メン管II種·1年学習計画【52週·模試3回·70点】,published,D学習,do,B,8,merge,study-plan,メン管II種·1年学習計画【52週·模試3回·70点】,クラスター統合（テンプレ定義）,no,,n/a,no,yes,other,,
study-plan-3months,学習計画,メン管II種·3か月学習計画【12週·100問·直前集中】,published,D学習,do,B,8,merge,study-plan,メン管II種·3か月学習計画【12週·100問·直前集中】,クラスター統合（テンプレ定義）,no,,n/a,no,yes,other,,
study-plan-6months,学習計画,メン管II種·6か月学習計画【26週·模試2回·70点】,published,D学習,do,B,8,merge,study-plan,メン管II種·6か月学習計画【26週·模試2回·70点】,クラスター統合（テンプレ定義）,no,,n/a,no,yes,other,,
study-plan-beginner,学習計画,メン管II種·初学者学習計画【用語→演習·7領域·70点】,published,D学習,do,B,8,merge,study-plan,メン管II種·初学者学習計画【用語→演習·7領域·70点】,クラスター統合（テンプレ定義）,no,,n/a,no,yes,other,,
study-plan-working,学習計画,メン管II種·社会人学習計画【週10h·通勤·70点】,published,D学習,do,B,8,merge,study-plan,メン管II種·社会人学習計画【週10h·通勤·70点】,クラスター統合（テンプレ定義）,no,,n/a,no,yes,other,,
field-law-basics,分野別対策,メン管II種·基礎·役割【領域①·4ケア·管理監督者】,published,E分野,do,B,64,keep,,メン管II種·基礎·役割【領域①·4ケア·管理監督者】,分野別（field-law-basics）（スコア上位で keep 候補）,no,law,ok,no,yes,field,,
